time,BTC,KXBTC-24DEC0517-T87250,KXBTC-24DEC0517-B87500,KXBTC-24DEC0517-B88000,KXBTC-24DEC0517-B88500,KXBTC-24DEC0517-B89000,KXBTC-24DEC0517-B89500,KXBTC-24DEC0517-B90000,KXBTC-24DEC0517-B90500,KXBTC-24DEC0517-B91000,KXBTC-24DEC0517-B91500,KXBTC-24DEC0517-B92000,KXBTC-24DEC0517-B92500,KXBTC-24DEC0517-B93000,KXBTC-24DEC0517-B93500,KXBTC-24DEC0517-B94000,KXBTC-24DEC0517-B94500,KXBTC-24DEC0517-B95000,KXBTC-24DEC0517-B95500,KXBTC-24DEC0517-B96000,KXBTC-24DEC0517-B96500,KXBTC-24DEC0517-B97000,KXBTC-24DEC0517-B97500,KXBTC-24DEC0517-B98000,KXBTC-24DEC0517-B98500,KXBTC-24DEC0517-B99000,KXBTC-24DEC0517-B99500,KXBTC-24DEC0517-B100000,KXBTC-24DEC0517-B100500,KXBTC-24DEC0517-B101000,KXBTC-24DEC0517-B101500,KXBTC-24DEC0517-B102000,KXBTC-24DEC0517-B102500,KXBTC-24DEC0517-B103000,KXBTC-24DEC0517-B103500,KXBTC-24DEC0517-B104000,KXBTC-24DEC0517-B104500,KXBTC-24DEC0517-B105000,KXBTC-24DEC0517-B105500,KXBTC-24DEC0517-B106000,KXBTC-24DEC0517-T106249.99,KXBTCD-24DEC0517-T86749.99,KXBTCD-24DEC0517-T87249.99,KXBTCD-24DEC0517-T87749.99,KXBTCD-24DEC0517-T88249.99,KXBTCD-24DEC0517-T88749.99,KXBTCD-24DEC0517-T89249.99,KXBTCD-24DEC0517-T89749.99,KXBTCD-24DEC0517-T90249.99,KXBTCD-24DEC0517-T90749.99,KXBTCD-24DEC0517-T91249.99,KXBTCD-24DEC0517-T91749.99,KXBTCD-24DEC0517-T92249.99,KXBTCD-24DEC0517-T92749.99,KXBTCD-24DEC0517-T93249.99,KXBTCD-24DEC0517-T93749.99,KXBTCD-24DEC0517-T94249.99,KXBTCD-24DEC0517-T94749.99,KXBTCD-24DEC0517-T95249.99,KXBTCD-24DEC0517-T95749.99,KXBTCD-24DEC0517-T96249.99,KXBTCD-24DEC0517-T96749.99,KXBTCD-24DEC0517-T97249.99,KXBTCD-24DEC0517-T97749.99,KXBTCD-24DEC0517-T98249.99,KXBTCD-24DEC0517-T98749.99,KXBTCD-24DEC0517-T99249.99,KXBTCD-24DEC0517-T99749.99,KXBTCD-24DEC0517-T100249.99,KXBTCD-24DEC0517-T100749.99,KXBTCD-24DEC0517-T101249.99,KXBTCD-24DEC0517-T101749.99,KXBTCD-24DEC0517-T102249.99,KXBTCD-24DEC0517-T102749.99,KXBTCD-24DEC0517-T103249.99,KXBTCD-24DEC0517-T103749.99,KXBTCD-24DEC0517-T104249.99,KXBTCD-24DEC0517-T104749.99,KXBTCD-24DEC0517-T105249.99,KXBTCD-24DEC0517-T105749.99,KXBTCD-24DEC0517-T106249.99
2024-12-05 12:30:00.032158,100891.76,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,4,5,7,9,11,13,14,13,10,8,7,5,4,3,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,95,91,86,77,68,57,45,37,25,18,12,8,5,4,3,3,4
2024-12-05 12:40:00.457132,100982.41,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,4,6,9,11,13,14,13,12,9,8,4,4,3,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,93,88,81,72,59,48,36,26,19,12,8,5,4,3,3,4
2024-12-05 12:50:00.481105,101173.15,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,4,7,10,13,14,14,13,10,8,6,4,3,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,95,91,86,76,65,52,40,30,21,14,9,6,4,3,4,4
2024-12-05 13:00:00.091300,101364.76,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,2,4,6,9,12,14,15,14,11,9,7,5,3,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,96,94,89,81,69,58,46,34,22,15,10,6,4,3,3,4
2024-12-05 13:10:00.559280,101406.25,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,4,7,8,12,14,15,14,12,9,7,5,3,3,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,96,94,87,80,72,59,45,35,24,16,10,6,4,3,4,4
2024-12-05 13:20:00.308220,101257.18,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,4,7,10,12,15,15,14,12,9,7,5,3,3,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,93,86,79,67,54,40,30,21,14,9,5,3,5,4,4
2024-12-05 13:30:00.808438,101109.05,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,4,7,10,14,15,16,14,11,7,5,4,2,3,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,93,88,79,66,51,39,26,19,11,7,4,3,3,3,3
2024-12-05 13:40:00.401327,101258.26,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,4,7,10,13,16,17,15,11,8,6,3,2,3,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,95,90,83,70,55,43,27,18,11,7,4,3,3,3,3
2024-12-05 13:50:00.655941,100765.88,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,4,6,9,14,18,18,16,12,8,5,3,3,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,91,84,71,55,39,25,15,8,5,4,3,4,3,3,3
2024-12-05 14:00:00.646120,100207.61,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,4,6,10,15,19,19,14,10,7,4,3,2,2,4,1,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,92,84,71,52,36,21,13,7,4,4,4,4,4,3,3,3
