Time,Fees,Profit,Shares
1731613191.2574232,15,300,300
1731613193.572628,15,300,300
1731613340.489544,6,100,100
1731613342.9653819,6,100,100
1731613345.479431,6,100,100
1731613441.198515,10,200,200
1731613534.575139,4,85,85
1731613617.462313,3,40,40
1731613667.544971,6,100,100
1731613669.9900239,6,100,100
1731613672.278053,6,100,100
1731613713.604044,3,10,10
1731613715.984221,3,10,10
1731613718.3844118,3,10,10
1731613720.767203,10,200,200
1731613723.1606882,10,200,200
1731613725.5327208,10,200,200
1731613727.953859,10,200,200
1731613731.2924988,3,10,10
1731613731.292521,4,193,193
1731613734.5121448,3,20,10
1731613734.512172,4,193,193
1731613737.911125,3,20,10
1731613737.911173,4,193,193
1731613741.242659,3,20,10
1731613741.2426848,4,193,193
1731613744.612261,3,30,10
1731613744.612288,4,193,193
1731613747.9503932,3,30,10
1731613747.950442,3,100,100
1731613751.2623959,3,30,10
1731613751.26242,3,100,100
1731613754.5837991,3,30,10
1731613754.583817,3,100,100
1731613757.900348,3,42,42
1731613757.900373,3,100,100
1731613761.272481,3,42,42
1731613761.272497,3,100,100
1731613764.6266491,6,200,100
1731613764.626664,3,100,100
1731613768.0640142,6,200,100
1731613768.064029,4,193,193
1731613772.396439,16,600,300
1731613772.3964648,9,175,175
1731613772.39647,4,193,193
1731613777.086574,9,300,150
1731613777.08659,3,24,24
1731613777.086595,4,193,193
1731613781.603063,11,200,200
1731613781.603092,7,150,150
1731613781.603101,3,50,50
1731613785.279731,7,150,150
1731613785.279745,3,50,50
1731613788.869398,7,300,150
1731613788.869405,3,50,50
1731613792.354105,7,150,150
1731613792.3541288,3,50,50
1731613795.537073,7,150,150
1731613795.5370991,3,50,50
1731613799.0281758,7,300,150
1731613799.028192,3,50,50
1731613803.020481,10,200,200
1731613803.0205061,7,300,150
1731613803.020512,3,50,50
1731613805.218993,7,300,150
1731613808.460493,10,400,200
1731613808.46051,7,450,150
1731613811.795941,10,400,200
1731613811.7959738,7,450,150
1731613815.118617,10,200,200
1731613815.118651,7,450,150
1731613818.613377,10,200,200
1731613818.6134028,3,24,24
1731613821.152891,7,150,150
1731613823.6182551,7,150,150
1731613826.0962791,7,150,150
1731613828.555833,7,150,150
1731613831.011725,7,150,150
1731613858.795948,4,61,61
1731613861.074434,4,61,61
1731613863.255053,4,183,61
1731613865.875686,4,61,61
1731613868.253948,4,61,61
1731613870.56569,4,61,61
1731613873.079932,4,61,61
1731613901.690757,15,300,300
1731613904.099402,16,600,300
1731613906.539731,16,600,300
1731613920.473245,9,277,277
1731613920.473296,10,600,200
1731613924.130603,4,89,89
1731613924.13062,3,160,40
1731613926.599982,3,120,40
1731613929.039045,3,120,40
1731613931.491992,13,720,240
1731613933.913242,19,1200,400
1731613936.3590121,18,1885,377
1731613938.847991,3,60,12
1731613941.304924,3,36,12
1731613943.812577,3,24,12
1731613946.27651,4,124,62
1731613948.785404,4,124,62
1731613951.287591,4,124,62
1731613953.819322,4,124,62
1731613956.228065,4,186,62
1731613958.690971,3,36,12
1731613961.1701918,3,36,12
1731613963.648385,10,354,177
1731613966.0735202,10,354,177
1731613968.513037,10,177,177
1731613971.0015721,10,177,177
1731613973.4998631,3,12,12
1731613976.055674,10,177,177
1731613978.559629,10,177,177
1731613981.0742881,7,139,139
1731613983.591399,7,139,139
1731613986.148661,7,139,139
1731613991.75619,6,100,100
1731613994.315485,6,100,100
1731613996.8057442,6,100,100
1731614002.259647,6,200,100
1731614004.8059049,7,139,139
1731614007.2970161,7,139,139
1731614009.822604,7,139,139
1731614012.034411,7,139,139
