Time,Fees,Profit,Shares
1731621354.267871,3,172,86
1731621355.848417,5,400,200
1731621364.083044,3,20,10
1731621365.7842371,3,42,21
1731621367.474097,3,42,21
1731621369.188968,3,42,21
1731621370.866972,3,42,21
1731621372.3810072,3,24,24
1731621374.078458,3,24,24
1731621375.77811,3,21,7
1731621377.508954,3,18,6
1731621379.2404962,3,300,100
1731621419.846302,8,800,400
1731621421.421334,5,556,278
1731621423.0926259,5,556,278
1731621424.761327,9,1146,573
1731621426.507123,9,1146,573
1731621428.115747,9,1146,573
1731621429.834839,9,924,462
1731621431.193472,,,
1731621432.539253,,,
1731621433.9104462,,,
1731621435.241885,,,
1731621436.4394019,,,
1731621437.810223,,,
1731621439.058441,,,
1731621440.40147,,,
1731621441.778526,,,
1731621443.2263901,,,
1731621444.57954,,,
1731621445.924989,,,
1731621447.400272,,,
1731621448.8163378,,,
1731621450.243754,,,
1731621451.654319,,,
1731621453.027565,,,
1731621454.4024231,,,
1731621455.768621,,,
1731621457.134204,,,
1731621458.534563,,,
1731621459.8942878,,,
1731621461.2854168,,,
1731621462.675272,,,
1731621465.889929,,,
1731621466.953079,,,
1731621468.3409762,,,
1731621469.739827,,,
1731621471.184344,,,
1731621472.6136231,,,
1731621473.964299,,,
1731621475.344233,,,
1731621476.716049,,,
1731621478.1064541,,,
1731621479.307539,,,
1731621480.6566908,,,
1731621482.0414479,,,
1731621483.470502,,,
1731621484.841841,,,
1731621486.217706,,,
1731621487.586762,,,
1731621488.9436748,,,
1731621490.283954,,,
1731621491.6448839,,,
1731621493.367029,3,100,50
1731621495.0566669,3,100,50
1731621496.7595499,3,100,50
1731621498.444695,3,100,50
1731621500.209163,3,100,50
1731621501.907593,3,100,50
1731621503.609102,3,100,50
1731621505.27693,8,800,400
1731621506.969697,8,800,400
1731621508.5853162,21,2500,1250
1731621510.289738,12,1400,700
1731621511.999049,10,1166,583
1731621513.6483998,3,124,62
1731621515.3073652,3,124,62
1731621516.989003,3,144,72
1731621518.647017,3,144,72
1731621520.3542242,3,144,72
1731621522.064236,3,20,10
1731621523.439116,,,
1731621524.803427,,,
1731621525.835755,,,
1731621526.862741,,,
1731621527.887786,,,
1731621528.975629,,,
1731621530.046529,,,
1731621531.079238,,,
1731621532.113842,,,
1731621533.13672,,,
1731621534.2211268,,,
1731621535.2626078,,,
1731621536.3814368,,,
1731621537.413013,,,
1731621538.48093,,,
1731621539.529089,,,
1731621540.5884428,,,
1731621541.67987,,,
1731621542.5969121,,,
1731621543.659241,,,
1731621544.692461,,,
1731621545.7368,,,
1731621546.794822,,,
1731621547.821574,,,
1731621548.874165,,,
1731621549.905377,,,
1731621550.941308,,,
1731621551.965651,,,
1731621553.0368361,,,
1731621554.079639,,,
1731621555.088041,,,
1731621556.169603,,,
1731621557.2671208,,,
1731621558.03925,,,
1731621559.180313,,,
1731621560.0773902,,,
1731621561.123179,,,
1731621562.2287722,,,
1731621563.268439,,,
1731621564.240453,,,
1731621565.300035,,,
1731621566.36397,,,
