time,BTC,KXBTCD-24DEC0617-T83749.99,KXBTCD-24DEC0617-T84249.99,KXBTCD-24DEC0617-T84749.99,KXBTCD-24DEC0617-T85249.99,KXBTCD-24DEC0617-T85749.99,KXBTCD-24DEC0617-T86249.99,KXBTCD-24DEC0617-T86749.99,KXBTCD-24DEC0617-T87249.99,KXBTCD-24DEC0617-T87749.99,KXBTCD-24DEC0617-T88249.99,KXBTCD-24DEC0617-T88749.99,KXBTCD-24DEC0617-T89249.99,KXBTCD-24DEC0617-T89749.99,KXBTCD-24DEC0617-T90249.99,KXBTCD-24DEC0617-T90749.99,KXBTCD-24DEC0617-T91249.99,KXBTCD-24DEC0617-T91749.99,KXBTCD-24DEC0617-T92249.99,KXBTCD-24DEC0617-T92749.99,KXBTCD-24DEC0617-T93249.99,KXBTCD-24DEC0617-T93749.99,KXBTCD-24DEC0617-T94249.99,KXBTCD-24DEC0617-T94749.99,KXBTCD-24DEC0617-T95249.99,KXBTCD-24DEC0617-T95749.99,KXBTCD-24DEC0617-T96249.99,KXBTCD-24DEC0617-T96749.99,KXBTCD-24DEC0617-T97249.99,KXBTCD-24DEC0617-T97749.99,KXBTCD-24DEC0617-T98249.99,KXBTCD-24DEC0617-T98749.99,KXBTCD-24DEC0617-T99249.99,KXBTCD-24DEC0617-T99749.99,KXBTCD-24DEC0617-T100249.99,KXBTCD-24DEC0617-T100749.99,KXBTCD-24DEC0617-T101249.99,KXBTCD-24DEC0617-T101749.99,KXBTCD-24DEC0617-T102249.99,KXBTCD-24DEC0617-T102749.99,KXBTCD-24DEC0617-T103249.99,KXBTCD-24DEC0617-T103749.99,KXBTCD-24DEC0617-T104249.99,KXBTCD-24DEC0617-T104749.99,KXBTCD-24DEC0617-T105249.99,KXBTCD-24DEC0617-T105749.99,KXBTCD-24DEC0617-T106249.99,KXBTCD-24DEC0617-T106749.99,KXBTCD-24DEC0617-T107249.99,KXBTCD-24DEC0617-T107749.99,KXBTCD-24DEC0617-T108249.99,KXBTC-24DEC0617-T93000,KXBTC-24DEC0617-B93250,KXBTC-24DEC0617-B93750,KXBTC-24DEC0617-B94250,KXBTC-24DEC0617-B94750,KXBTC-24DEC0617-B95250,KXBTC-24DEC0617-B95750,KXBTC-24DEC0617-B96250,KXBTC-24DEC0617-B96750,KXBTC-24DEC0617-B97250,KXBTC-24DEC0617-B97750,KXBTC-24DEC0617-B98250,KXBTC-24DEC0617-B98750,KXBTC-24DEC0617-B99250,KXBTC-24DEC0617-B99750,KXBTC-24DEC0617-B100250,KXBTC-24DEC0617-B100750,KXBTC-24DEC0617-B101250,KXBTC-24DEC0617-B101750,KXBTC-24DEC0617-B102250,KXBTC-24DEC0617-B102750,KXBTC-24DEC0617-B103250,KXBTC-24DEC0617-B103750,KXBTC-24DEC0617-B104250,KXBTC-24DEC0617-B104750,KXBTC-24DEC0617-B105250,KXBTC-24DEC0617-B105750,KXBTC-24DEC0617-B106250,KXBTC-24DEC0617-B106750,KXBTC-24DEC0617-B107250,KXBTC-24DEC0617-B107750,KXBTC-24DEC0617-B108250,KXBTC-24DEC0617-B108750,KXBTC-24DEC0617-B109250,KXBTC-24DEC0617-B109750,KXBTC-24DEC0617-B110250,KXBTC-24DEC0617-B110750,KXBTC-24DEC0617-B111250,KXBTC-24DEC0617-B111750,KXBTC-24DEC0617-T111999.99
2024-12-06 02:39:00.361589,98210.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,9,10,17,25,27,42,48,59,68,74,79,83,86,88,89,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,86,96,96,86,86,86,86,86,86,86,86,86,86,86,96
2024-12-06 02:40:00.189853,98144.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,9,10,17,25,27,42,49,60,68,76,80,83,86,88,89,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,86,96,96,86,86,86,86,86,86,86,86,86,86,86,96
2024-12-06 02:41:00.540636,98077.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,9,10,17,25,27,42,51,62,70,77,81,84,86,88,90,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,81,96,96,80,81,81,81,81,81,81,81,81,81,81,96
2024-12-06 02:42:00.943078,98042.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,8,10,17,25,27,42,51,62,70,76,81,84,86,88,90,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,81,96,96,80,81,81,81,81,81,81,81,81,81,81,96
2024-12-06 02:43:00.481324,98082.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,8,10,17,25,27,43,51,62,70,76,81,84,86,88,90,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,81,96,96,80,81,81,81,81,81,81,81,81,81,81,96
2024-12-06 02:44:00.050094,98069.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,8,10,17,25,27,43,51,62,70,76,81,84,86,88,90,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,81,96,96,80,81,81,81,81,81,81,81,81,81,81,96
2024-12-06 02:45:00.595268,98038.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,8,10,17,25,27,43,51,62,70,76,81,84,86,88,90,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,81,96,96,80,81,81,81,81,81,81,81,81,81,81,96
2024-12-06 02:46:00.134367,98062.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,8,10,17,25,27,43,51,62,70,76,81,84,86,88,90,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,81,96,96,80,81,81,81,81,81,81,81,81,81,81,96
2024-12-06 02:47:00.603929,98064.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,8,10,17,25,27,43,51,62,70,76,81,84,86,88,90,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,81,96,96,80,81,81,81,81,81,81,81,81,81,81,96
2024-12-06 02:48:00.135176,98022.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,8,6,6,8,10,17,25,27,43,51,62,70,76,81,84,86,88,90,74,50,70,50,83,51,98,98,99,99,96,81,94,96,94,93,94,92,91,90,91,86,89,91,91,91,92,93,94,95,96,96,97,96,96,96,81,96,96,80,81,81,81,81,81,81,81,81,81,81,96
