time,KXBTCD-24DEC0617-T83749.99,KXBTCD-24DEC0617-T84249.99,KXBTCD-24DEC0617-T84749.99,KXBTCD-24DEC0617-T85249.99,KXBTCD-24DEC0617-T85749.99,KXBTCD-24DEC0617-T86249.99,KXBTCD-24DEC0617-T86749.99,KXBTCD-24DEC0617-T87249.99,KXBTCD-24DEC0617-T87749.99,KXBTCD-24DEC0617-T88249.99,KXBTCD-24DEC0617-T88749.99,KXBTCD-24DEC0617-T89249.99,KXBTCD-24DEC0617-T89749.99,KXBTCD-24DEC0617-T90249.99,KXBTCD-24DEC0617-T90749.99,KXBTCD-24DEC0617-T91249.99,KXBTCD-24DEC0617-T91749.99,KXBTCD-24DEC0617-T92249.99,KXBTCD-24DEC0617-T92749.99,KXBTCD-24DEC0617-T93249.99,KXBTCD-24DEC0617-T93749.99,KXBTCD-24DEC0617-T94249.99,KXBTCD-24DEC0617-T94749.99,KXBTCD-24DEC0617-T95249.99,KXBTCD-24DEC0617-T95749.99,KXBTCD-24DEC0617-T96249.99,KXBTCD-24DEC0617-T96749.99,KXBTCD-24DEC0617-T97249.99,KXBTCD-24DEC0617-T97749.99,KXBTCD-24DEC0617-T98249.99,KXBTCD-24DEC0617-T98749.99,KXBTCD-24DEC0617-T99249.99,KXBTCD-24DEC0617-T99749.99,KXBTCD-24DEC0617-T100249.99,KXBTCD-24DEC0617-T100749.99,KXBTCD-24DEC0617-T101249.99,KXBTCD-24DEC0617-T101749.99,KXBTCD-24DEC0617-T102249.99,KXBTCD-24DEC0617-T102749.99,KXBTCD-24DEC0617-T103249.99,KXBTCD-24DEC0617-T103749.99,KXBTCD-24DEC0617-T104249.99,KXBTCD-24DEC0617-T104749.99,KXBTCD-24DEC0617-T105249.99,KXBTCD-24DEC0617-T105749.99,KXBTCD-24DEC0617-T106249.99,KXBTCD-24DEC0617-T106749.99,KXBTCD-24DEC0617-T107249.99,KXBTCD-24DEC0617-T107749.99,KXBTCD-24DEC0617-T108249.99,KXBTC-24DEC0617-T93000,KXBTC-24DEC0617-B93250,KXBTC-24DEC0617-B93750,KXBTC-24DEC0617-B94250,KXBTC-24DEC0617-B94750,KXBTC-24DEC0617-B95250,KXBTC-24DEC0617-B95750,KXBTC-24DEC0617-B96250,KXBTC-24DEC0617-B96750,KXBTC-24DEC0617-B97250,KXBTC-24DEC0617-B97750,KXBTC-24DEC0617-B98250,KXBTC-24DEC0617-B98750,KXBTC-24DEC0617-B99250,KXBTC-24DEC0617-B99750,KXBTC-24DEC0617-B100250,KXBTC-24DEC0617-B100750,KXBTC-24DEC0617-B101250,KXBTC-24DEC0617-B101750,KXBTC-24DEC0617-B102250,KXBTC-24DEC0617-B102750,KXBTC-24DEC0617-B103250,KXBTC-24DEC0617-B103750,KXBTC-24DEC0617-B104250,KXBTC-24DEC0617-B104750,KXBTC-24DEC0617-B105250,KXBTC-24DEC0617-B105750,KXBTC-24DEC0617-B106250,KXBTC-24DEC0617-B106750,KXBTC-24DEC0617-B107250,KXBTC-24DEC0617-B107750,KXBTC-24DEC0617-B108250,KXBTC-24DEC0617-B108750,KXBTC-24DEC0617-B109250,KXBTC-24DEC0617-B109750,KXBTC-24DEC0617-B110250,KXBTC-24DEC0617-B110750,KXBTC-24DEC0617-B111250,KXBTC-24DEC0617-B111750,KXBTC-24DEC0617-T111999.99,BTC
2024-12-06 02:39:00.361582,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,90,89,87,85,80,74,67,57,47,37,26,14,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98210.97
2024-12-06 02:40:00.189852,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,90,89,86,85,79,73,67,56,46,37,25,13,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98144.01
2024-12-06 02:41:00.540635,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,89,89,86,85,79,72,67,55,43,37,25,12,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98077.08
2024-12-06 02:42:00.943076,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,89,89,86,85,78,72,67,55,43,37,25,12,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98042.63
2024-12-06 02:43:00.481323,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,89,89,86,85,78,72,67,56,44,37,25,12,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98082.05
2024-12-06 02:44:00.050092,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,89,89,86,85,78,72,67,56,44,37,25,12,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98069.54
2024-12-06 02:45:00.595267,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,89,89,86,85,78,72,67,56,43,37,25,12,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98038.66
2024-12-06 02:46:00.134366,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,89,89,86,85,78,72,67,56,44,37,25,12,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98062.45
2024-12-06 02:47:00.603926,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,89,89,86,85,78,72,67,56,44,37,25,12,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98064.58
2024-12-06 02:48:00.135173,82,75,34,57,47,52,53,52,71,74,73,58,62,91,91,96,81,91,89,89,80,89,89,86,85,78,72,67,56,43,37,25,12,15,10,7,6,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,4,6,6,6,7,6,6,6,6,5,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98022.49
